Unnamed: 0,heading,latitude,longitude,traceid,sampledate,speed
1135,280.0,53.554733492837016,10.060085781449398,vHdWXVlETjislEt8EINd7w,2024-07-12 05:03:20,37.0
1184,274.0,53.55537673583795,10.051387182466916,vHdWXVlETjislEt8EINd7w,2024-07-12 05:04:09,39.0
1194,187.0,53.55523914247204,10.050497172447336,vHdWXVlETjislEt8EINd7w,2024-07-12 05:04:19,17.0
1204,196.0,53.55456408579051,10.05021526861943,vHdWXVlETjislEt8EINd7w,2024-07-12 05:04:29,27.0
1214,197.0,53.55399314439099,10.049909802674025,vHdWXVlETjislEt8EINd7w,2024-07-12 05:04:39,26.0
1224,198.0,53.55322022928895,10.049461624469634,vHdWXVlETjislEt8EINd7w,2024-07-12 05:04:49,31.0
1234,200.0,53.552572160806136,10.049029562543591,vHdWXVlETjislEt8EINd7w,2024-07-12 05:04:59,20.0
1244,200.0,53.55240432456509,10.048943155020302,vHdWXVlETjislEt8EINd7w,2024-07-12 05:05:09,1.0
1254,201.0,53.551978300015904,10.048672868248431,vHdWXVlETjislEt8EINd7w,2024-07-12 05:06:09,27.0
1282,55.0,53.55836367514293,10.04688205557813,AH2cciz6QNC2kVEM3BQtEA,2024-07-12 00:38:23,35.0
1292,6.0,53.55917201790852,10.047273271951852,AH2cciz6QNC2kVEM3BQtEA,2024-07-12 00:38:33,38.0
1308,5.0,53.56072156435626,10.047539701384643,AH2cciz6QNC2kVEM3BQtEA,2024-07-12 00:38:49,22.0
1318,11.0,53.56117050737598,10.047666333105417,AH2cciz6QNC2kVEM3BQtEA,2024-07-12 00:39:59,32.0
1330,313.0,53.56218247341128,10.047522921528476,AH2cciz6QNC2kVEM3BQtEA,2024-07-12 00:40:11,35.0
1348,277.0,53.56043555032271,10.060180023701616,NotBQGnBScz2lvfHSvWlg,2024-07-12 05:41:06,32.0
1358,281.0,53.56061796044271,10.058639260483988,NotBQGnBScz2lvfHSvWlg,2024-07-12 05:41:16,37.0
1368,279.0,53.56082522808008,10.057261016205343,NotBQGnBScz2lvfHSvWlg,2024-07-12 05:41:26,37.0
1378,338.0,53.5608808095046,10.056622585440143,NotBQGnBScz2lvfHSvWlg,2024-07-12 05:41:36,1.0
1388,277.0,53.56094257157934,10.05536752343222,NotBQGnBScz2lvfHSvWlg,2024-07-12 05:41:50,34.0
1447,281.0,53.560320374744855,10.062045586589509,0WP6h5nnRn2ZRKAOftCXtA,2024-07-12 05:50:59,19.0
1457,282.0,53.56050655974102,10.060711088667276,0WP6h5nnRn2ZRKAOftCXtA,2024-07-12 05:51:09,38.0
1467,281.0,53.560681812664136,10.059125552827096,0WP6h5nnRn2ZRKAOftCXtA,2024-07-12 05:51:19,38.0
1489,274.0,53.560923524595765,10.056169989576084,0WP6h5nnRn2ZRKAOftCXtA,2024-07-12 05:52:03,6.0
1499,273.0,53.56098361494722,10.055127310160668,0WP6h5nnRn2ZRKAOftCXtA,2024-07-12 05:52:13,34.0
1541,273.0,53.56131267942587,10.047853662728636,0WP6h5nnRn2ZRKAOftCXtA,2024-07-12 05:52:55,23.0
1551,356.0,53.5619879667652,10.047820284492644,0WP6h5nnRn2ZRKAOftCXtA,2024-07-12 05:53:05,31.0
1571,285.0,53.554534912109375,10.061576368808336,39jnKwRQCIhMs2PdWzJA,2024-07-12 05:26:58,28.0
1623,270.0,53.555419921875,10.05056077414458,39jnKwRQCIhMs2PdWzJA,2024-07-12 05:27:50,26.0
1721,275.0,53.56118949,10.04935908,P8BEVWhRjqnfi4Ye81PGw,2024-07-12 05:16:29,32.0
1731,274.0,53.56122777,10.04850779,P8BEVWhRjqnfi4Ye81PGw,2024-07-12 05:16:39,19.0
2096,86.0,53.56116999999999,10.0468186,SgQqe0HTdive32LhkyEVA,2024-07-12 05:16:22,16.0
2107,93.0,53.561148800000005,10.048191,SgQqe0HTdive32LhkyEVA,2024-07-12 05:16:33,39.0
2132,93.0,53.560967299999994,10.0521197,SgQqe0HTdive32LhkyEVA,2024-07-12 05:16:58,12.0
2142,94.0,53.5609483,10.0526207,SgQqe0HTdive32LhkyEVA,2024-07-12 05:17:53,17.0
2177,101.0,53.56046339999999,10.0596545,SgQqe0HTdive32LhkyEVA,2024-07-12 05:18:28,29.0
2187,101.0,53.56037599999999,10.060361899999998,SgQqe0HTdive32LhkyEVA,2024-07-12 05:18:38,23.0
